dataset,method,attention,loss,loss_name,seed,acc,macro_f1,qwk,mae,tau,gamma,label_smoothing,run_tag,source
KOA,ResNet50,,CE,,0,0.6927,0.6667,0.8179,0.3801,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed0.log
KOA,ResNet50 + DAST,,DAST,,0,0.6912999999999999,0.6717,0.8217,0.3768,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed0.log
KOA,ResNet50 + MESC VersionB,MESC,,,0,0.6723,0.6645,0.824,0.3912,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed0.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,0,0.6945999999999999,0.6829,0.8447,0.3519,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed0.log
ADNI,ResNet50,,CE,ce,0,0.9406,0.9538,0.9351,0.0641,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed0.log
ADNI,ResNet50 + DAST,,DAST,dast,0,0.9242,0.9201,0.9245,0.0781,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed0.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,0,0.9812000000000001,0.9852,0.9792,0.0203,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed0.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,0,0.9703,0.9767,0.9654,0.0328,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed0.log
KOA,ResNet50,,CE,,1,0.6547,0.6621,0.8382,0.3847,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed1,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed1.log
KOA,ResNet50 + DAST,,DAST,,1,0.6855,0.6727,0.8201,0.386,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed1,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed1.log
