dataset,loss,method,seed,acc,macro_f1,mae,qwk,tau,gamma,label_smoothing,run_tag,source
ADNI,CE,ResNet50,0,0.9406,0.9538,0.0641,0.9351,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed0.log
ADNI,CE,ResNet50,1,0.9438,0.9353,0.0602,0.9397,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed1,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed1.log
ADNI,CE,ResNet50,2,0.9406,0.919,0.0641,0.9341,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed2.log
ADNI,CE,ResNet50,3,0.9351999999999999,0.9402,0.0695,0.9295,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed3.log
ADNI,CE,ResNet50,4,0.9359000000000001,0.9482,0.0703,0.9266,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed4.log
ADNI,CE,ResNet50,5,0.9344,0.9114,0.0742,0.9192,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed5.log
ADNI,CE,ResNet50,6,0.9445,0.9297,0.0648,0.927,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed6.log
ADNI,CE,ResNet50,7,0.9492,0.9279,0.0562,0.9401,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed7.log
ADNI,CE,ResNet50,8,0.9508,0.9499,0.0547,0.9418,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed8.log
ADNI,CE,ResNet50,9,0.9406,0.9475,0.0672,0.9267,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed9.log
ADNI,DAST,ResNet50 + DAST,0,0.9242,0.9201,0.0781,0.9245,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed0.log
ADNI,DAST,ResNet50 + DAST,1,0.9351999999999999,0.9254,0.0656,0.9395,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed1,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed1.log
